Type of Program,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23
news,10,10,40,30,50,40,30,20,10,20,30,50,50,40,30,20,10,20
live_soccer,0,0,0,20,10,30,20,10,40,30,40,50,40,60,40,30,40,30
movie_a,10,10,20,40,30,20,10,20,30,40,50,40,30,40,30,50,30,40
movie_b,20,10,10,30,20,10,20,30,40,50,40,30,40,50,40,30,40,50
reality_show,30,40,30,40,40,50,30,40,50,40,30,20,10,20,30,20,20,30
tv_series_a,20,30,20,10,10,20,20,40,40,30,30,30,50,60,40,50,40,30
tv_series_b,10,20,30,30,20,30,30,10,40,30,40,30,50,30,40,60,40,30
music_program,30,30,30,20,20,10,20,40,30,30,30,30,20,30,20,30,50,30
documentary,30,30,40,30,20,20,30,40,40,30,20,20,20,10,10,30,30,20
Boxing,40,30,30,20,20,10,10,10,10,30,30,30,20,30,40,30,40,60
